CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,segment
12346.0,326,1,77183.6,1,1,5,11,hibernating
12347.0,2,182,4310.0,5,5,5,55,champions
12348.0,75,31,1797.24,2,3,4,23,at_Risk
12349.0,19,73,1757.55,4,4,4,44,loyal_customers
12350.0,310,17,334.4,1,2,2,12,hibernating
12352.0,36,85,2506.04,3,4,5,34,loyal_customers
12353.0,204,4,89.0,1,1,1,11,hibernating
12354.0,232,58,1079.4,1,3,4,13,at_Risk
12355.0,214,13,459.4,1,1,2,11,hibernating
12356.0,23,59,2811.43,4,4,5,44,loyal_customers
12357.0,33,131,6207.67,4,5,5,45,loyal_customers
12358.0,2,19,1168.06,5,2,4,52,potential_loyalists
12359.0,58,248,6372.58,3,5,5,35,loyal_customers
12360.0,52,129,2662.06,3,5,5,35,loyal_customers
12361.0,287,10,189.9,1,1,1,11,hibernating
12362.0,3,266,5226.23,5,5,5,55,champions
12363.0,110,23,552.0,2,2,3,22,hibernating
12364.0,8,85,1313.1,5,4,4,54,champions
12365.0,291,22,641.38,1,2,3,12,hibernating
12367.0,4,11,168.9,5,1,1,51,new_customers
12370.0,51,167,3545.69,3,5,5,35,loyal_customers
12371.0,45,63,1887.96,3,4,4,34,loyal_customers
12372.0,72,52,1298.04,3,3,4,33,need_attention
12373.0,311,14,364.6,1,1,2,11,hibernating
12374.0,25,33,742.9300000000001,4,3,3,43,potential_loyalists
12375.0,11,17,457.5,5,2,2,52,potential_loyalists
12377.0,315,77,1628.12,1,4,4,14,at_Risk
12378.0,130,219,4008.62,2,5,5,25,cant_loose
12379.0,82,40,852.24,2,3,3,23,at_Risk
12380.0,22,104,2724.81,4,4,5,44,loyal_customers
12381.0,5,87,1845.31,5,4,4,54,champions
12383.0,185,99,1850.56,1,4,4,14,at_Risk
12384.0,29,27,585.27,4,2,3,42,potential_loyalists
12386.0,338,10,401.9,1,1,2,11,hibernating
12388.0,16,100,2780.66,4,4,5,44,loyal_customers
12390.0,80,32,549.84,2,3,3,23,at_Risk
12391.0,22,100,460.89,4,4,2,44,loyal_customers
12393.0,72,64,1582.6000000000001,3,4,4,34,loyal_customers
12394.0,64,27,1272.48,3,2,4,32,about_to_sleep
12395.0,19,156,3018.63,4,5,5,45,loyal_customers
12397.0,36,126,2409.9,3,5,5,35,loyal_customers
12398.0,46,85,1635.6599999999999,3,4,4,34,loyal_customers
12399.0,119,59,1108.65,2,4,4,24,at_Risk
12401.0,303,5,84.3,1,1,1,11,hibernating
12402.0,323,11,225.6,1,1,1,11,hibernating
12403.0,50,5,427.7,3,1,2,31,about_to_sleep
12405.0,149,54,1710.39,2,3,4,23,at_Risk
12406.0,22,105,3415.3,4,4,5,44,loyal_customers
12407.0,50,77,1708.1200000000001,3,4,4,34,loyal_customers
12408.0,33,105,2888.55,4,4,5,44,loyal_customers
12409.0,79,109,11072.67,2,4,5,24,at_Risk
12410.0,309,26,693.3299999999999,1,2,3,12,hibernating
12412.0,75,61,1226.88,2,4,4,24,at_Risk
12413.0,67,38,758.1,3,3,3,33,need_attention
12414.0,217,18,562.41,1,2,3,12,hibernating
12415.0,24,714,124914.53,4,5,5,45,loyal_customers
12417.0,3,192,3649.1,5,5,5,55,champions
12418.0,113,34,668.58,2,3,3,23,at_Risk
12420.0,64,29,600.39,3,2,3,32,about_to_sleep
12421.0,16,45,807.04,4,3,3,43,potential_loyalists
12422.0,96,39,803.5600000000001,2,3,3,23,at_Risk
12423.0,1,125,1859.31,5,5,4,55,champions
12424.0,163,30,1760.96,2,3,4,23,at_Risk
12425.0,78,36,777.2,2,3,3,23,at_Risk
12426.0,195,30,582.73,1,3,3,13,at_Risk
12427.0,22,31,825.8,4,3,3,43,potential_loyalists
12428.0,26,294,7956.46,4,5,5,45,loyal_customers
12429.0,9,97,3750.4,5,4,5,54,champions
12430.0,43,11,256.4,3,1,2,31,about_to_sleep
12431.0,36,235,6487.45,3,5,5,35,loyal_customers
12432.0,43,108,5059.32,3,4,5,34,loyal_customers
12433.0,1,420,13375.87,5,5,5,55,champions
12434.0,85,50,806.14,2,3,3,23,at_Risk
12435.0,80,36,7829.89,2,3,5,23,at_Risk
12436.0,100,16,509.01,2,2,3,22,hibernating
12437.0,2,199,4951.41,5,5,5,55,champions
12438.0,14,98,2906.85,4,4,5,44,loyal_customers
12441.0,367,11,173.55,1,1,1,11,hibernating
12442.0,3,12,172.06,5,1,1,51,new_customers
12444.0,21,176,5005.46,4,5,5,45,loyal_customers
12445.0,22,4,133.4,4,1,1,41,promising
12446.0,58,57,1002.3100000000001,3,3,4,33,need_attention
12447.0,243,26,476.49,1,2,2,12,hibernating
12448.0,44,22,449.45,3,2,2,32,about_to_sleep
12449.0,22,191,4067.29,4,5,5,45,loyal_customers
12450.0,156,8,197.88,2,1,1,21,hibernating
12451.0,11,354,9035.52,5,5,5,55,champions
12452.0,17,22,430.57,4,2,2,42,potential_loyalists
12453.0,134,43,707.09,2,3,3,23,at_Risk
12454.0,56,15,3528.34,3,2,5,32,about_to_sleep
12455.0,73,90,2466.86,2,4,5,24,at_Risk
12456.0,44,125,3181.04,3,5,5,35,loyal_customers
12457.0,66,62,2363.23,3,4,5,34,loyal_customers
12458.0,71,38,947.4,3,3,4,33,need_attention
12461.0,94,35,826.88,2,3,3,23,at_Risk
12462.0,19,62,1189.59,4,4,4,44,loyal_customers
12463.0,53,83,1344.78,3,4,4,34,loyal_customers
12464.0,10,29,1212.05,5,2,4,52,potential_loyalists
12465.0,17,47,742.1899999999999,4,3,3,43,potential_loyalists
12468.0,188,38,729.5400000000001,1,3,3,13,at_Risk
12471.0,2,460,19824.05,5,5,5,55,champions
12472.0,32,339,6572.11,4,5,5,45,loyal_customers
12473.0,29,168,3938.5499999999997,4,5,5,45,loyal_customers
12474.0,17,424,7375.79,4,5,5,45,loyal_customers
12475.0,54,36,723.38,3,3,3,33,need_attention
12476.0,16,233,6816.42,4,5,5,45,loyal_customers
12477.0,23,300,13219.74,4,5,5,45,loyal_customers
12478.0,4,36,680.99,5,3,3,53,potential_loyalists
12479.0,11,31,527.2,5,3,3,53,potential_loyalists
12480.0,28,154,3281.63,4,5,5,45,loyal_customers
12481.0,23,217,5596.32,4,5,5,45,loyal_customers
12483.0,17,75,2484.98,4,4,5,44,loyal_customers
12484.0,33,346,4541.72,4,5,5,45,loyal_customers
12488.0,10,55,1298.66,5,3,4,53,potential_loyalists
12489.0,336,15,334.93,1,2,2,12,hibernating
12490.0,5,245,5417.93,5,5,5,55,champions
12491.0,39,26,460.40000000000003,3,2,2,32,about_to_sleep
12492.0,63,20,263.21000000000004,3,2,2,32,about_to_sleep
12493.0,166,22,433.74,2,2,2,22,hibernating
12494.0,16,77,1246.1000000000001,4,4,4,44,loyal_customers
12497.0,82,14,1043.1,2,1,4,21,hibernating
12498.0,21,23,403.70000000000005,4,2,2,42,potential_loyalists
12500.0,23,61,4257.82,4,4,5,44,loyal_customers
12501.0,337,149,2169.39,1,5,5,15,cant_loose
12502.0,96,147,3723.87,2,5,5,25,cant_loose
12504.0,18,9,482.04999999999995,4,1,2,41,promising
12506.0,233,23,73.5,1,2,1,12,hibernating
12507.0,134,21,1304.81,2,2,4,22,hibernating
12508.0,26,69,398.27,4,4,2,44,loyal_customers
12509.0,284,7,176.5,1,1,1,11,hibernating
12510.0,143,33,982.5699999999999,2,3,4,23,at_Risk
12512.0,66,34,138.03,3,3,1,33,need_attention
12513.0,113,35,612.29,2,3,3,23,at_Risk
12514.0,267,51,1017.68,1,3,4,13,at_Risk
12515.0,353,16,383.7,1,2,2,12,hibernating
12516.0,78,26,1312.06,2,2,4,22,hibernating
12517.0,28,284,2502.84,4,5,5,45,loyal_customers
12518.0,1,124,2056.89,5,5,4,55,champions
12519.0,64,18,340.84,3,2,2,32,about_to_sleep
12520.0,79,152,2634.26,2,5,5,25,cant_loose
12521.0,143,38,599.68,2,3,3,23,at_Risk
12522.0,39,12,192.72,3,1,1,31,about_to_sleep
12523.0,19,106,1789.77,4,4,4,44,loyal_customers
